-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies 
11-year Meteorological and Solar Monthly & Annual Climatologies (January 2012 - December 2022) 
Location: Latitude  29.78   Longitude -95.63 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB         SRB V4/CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN      SRB V4/CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN      SRB V4/CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT     SRB V4/CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
ALLSKY_SFC_LW_DWN,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
ALLSKY_SFC_SW_DWN,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
ALLSKY_SFC_PAR_TOT,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
