OBJECTID,geoid,County,Morning Temperature,Afternoon Temp Anomaly,Morning Temp Anomaly,Evening Temp Anomaly,Impervious Surface %,Tree Canopy %,Total population,Male pop under 5,Female pop under 5,65 and older %,65 and older,Poverty,Poverty %,Median Income,State,Region,"Percent of Population that is White alone, Non-Hispanic",Percent of Population that is Minority (non-White)
1191,48201100000,Harris County,80.67007877,0.529320919,1.843440031,0.747551467,83.27642469,0.139022222,6011,42,0,6.2,370,4953,16.6,89239,Texas,Houston,52.4,47.6
1192,48201210100,Harris County,80.14224826,0.669062504,1.315609517,0.74773623,81.30286494,0.258392675,7363,0,0,1.8,133,72,0,,Texas,Houston,17.4,82.6
1193,48201210400,Harris County,78.69803119,-0.10799723,-0.128607544,0.121214004,61.32970835,3.001494768,4422,228,209,13.3,587,4422,34.6,36217,Texas,Houston,7.2,92.8
1194,48201210500,Harris County,78.96128586,0.301677649,0.134647126,0.273747894,64.84411765,1.161806209,5548,224,338,9.6,531,5524,22,37323,Texas,Houston,4.1,95.9
1195,48201210600,Harris County,78.89622685,0.388348447,0.069588107,0.302980916,62.45703276,0.368982416,5327,93,104,12.9,686,5327,13.3,57750,Texas,Houston,17,83
1196,48201210700,Harris County,78.38820026,0.157155355,-0.438438482,0.196267933,61.30327215,0.228640193,2459,45,105,11.9,293,2453,27,39047,Texas,Houston,4.7,95.3
1197,48201210800,Harris County,79.18459607,0.317926314,0.357957328,0.336264311,68.15213131,1.083318006,2466,163,73,9.6,236,2454,40.7,32639,Texas,Houston,5.4,94.6
1198,48201210900,Harris County,77.80353419,-1.019688576,-1.023104553,-0.8363949,50.33761599,3.03372591,1320,44,9,17.4,230,1320,13.3,33548,Texas,Houston,3.6,96.4
1199,48201211000,Harris County,77.64403663,-0.807167165,-1.182602107,-0.843010944,53.92580645,1.974880383,1989,86,104,13.6,270,1989,33.7,36736,Texas,Houston,0.8,99.2
1200,48201211100,Harris County,78.1229528,-0.180186401,-0.703685942,-0.047063757,58.99051593,0.888762122,5322,111,62,16,853,5322,39.3,26166,Texas,Houston,2,98
1201,48201211200,Harris County,77.46013441,-1.243741716,-1.366504325,-0.681134236,50.92838336,4.160537762,2211,14,26,15.7,348,2211,37,21143,Texas,Houston,0.1,99.9
1202,48201211300,Harris County,78.85565398,0.041986985,0.029015244,0.370769374,66.59098334,0.371681416,5319,185,103,9.9,529,5292,32.6,27014,Texas,Houston,2,98
1203,48201211400,Harris County,79.1625172,0.484762804,0.335878459,0.429803411,71.04926962,0.786481481,3890,217,249,9,349,3890,37.1,30368,Texas,Houston,9.4,90.6
1204,48201211500,Harris County,79.69510416,0.292582524,0.868465421,0.393958911,69.21555556,0.88587078,6547,196,219,10.4,680,6523,27.1,32285,Texas,Houston,2.8,97.2
1205,48201211600,Harris County,78.94535272,0.25980674,0.118713986,0.34844989,66.81426332,0.13225058,3068,132,168,9.9,303,3054,28.5,31809,Texas,Houston,4.6,95.4
1206,48201211700,Harris County,79.21577004,-0.007537028,0.389131297,0.196740384,64.11707711,1.108223134,4142,226,137,12.6,520,4142,32.2,31367,Texas,Houston,2.9,97.1
1207,48201211900,Harris County,78.98130991,0.176526786,0.154671172,0.197120047,68.91696751,0,5398,280,314,10,542,5343,37.4,35487,Texas,Houston,1.6,98.4
1208,48201212300,Harris County,79.41142435,0.343407681,0.584785608,0.446974695,70.84239888,0.421825813,4387,95,208,11.2,491,4351,35.8,25392,Texas,Houston,8.4,91.6
1209,48201212400,Harris County,80.38602332,0.15521232,1.559384584,0.41588872,73.86842979,0.196250829,3037,166,106,17,515,3010,30.8,38194,Texas,Houston,3.7,96.3
1210,48201212500,Harris County,79.67932729,-0.027683517,0.852688548,0.178958826,65.82315353,2.874789549,4005,91,105,14.8,594,3987,34.2,40735,Texas,Houston,4.4,95.6
1211,48201220100,Harris County,79.08669712,0.558743968,0.260058379,0.435434109,58.58665993,1.56952381,2117,80,17,13.3,281,2117,27.1,32310,Texas,Houston,0.4,99.6
1212,48201220200,Harris County,78.6855205,0.400540066,-0.141118234,0.357335001,59.65592705,0.591033852,2646,55,126,12.8,338,2646,23.2,41750,Texas,Houston,7.2,92.8
1213,48201220300,Harris County,78.17339555,0.252830292,-0.653243193,0.206761897,55.5750114,2.182528892,4437,233,170,6.9,304,4437,27.2,47035,Texas,Houston,6.3,93.7
1214,48201220400,Harris County,78.49360693,0.097988326,-0.333031809,0.239608048,54.76668244,2.243626062,4253,147,181,10.8,461,4253,40.3,36530,Texas,Houston,5,95
1215,48201220500,Harris County,79.54550489,0.434460011,0.71886615,0.557446576,72.59849906,1.097117268,3377,104,67,28.9,976,3377,45.6,15906,Texas,Houston,9.2,90.8
1216,48201220600,Harris County,78.61350835,-0.0842775,-0.213130385,0.221500845,56.08477322,1.304684318,4083,225,232,5.1,209,4083,35.4,38958,Texas,Houston,2.9,97.1
1217,48201221000,Harris County,77.35479105,-0.747537828,-1.471847686,-0.001205836,41.71459538,5.102300406,4214,167,313,7.3,307,4214,35.9,31464,Texas,Houston,8,92
1218,48201221100,Harris County,77.9861876,-0.297538685,-0.840451137,0.549936364,43.55865922,4.453142227,3694,91,195,9.4,346,3694,36.7,29175,Texas,Houston,8.1,91.9
1219,48201221200,Harris County,77.92885135,-0.055413138,-0.897787392,0.096666777,50.2299639,1.892295171,6473,313,351,7.8,508,6473,32.8,43706,Texas,Houston,4.4,95.6
1220,48201221300,Harris County,78.06804329,-0.1557767,-0.758595449,0.214411348,48.40842491,1.836238981,9917,215,347,6.7,661,9917,26.5,46532,Texas,Houston,3.3,96.7
1221,48201221400,Harris County,78.79407285,0.052338869,-0.032565889,0.727726675,61.74534161,0.545791246,5991,186,277,8.6,517,5991,25,34639,Texas,Houston,5.9,94.1
1222,48201221500,Harris County,78.41824636,0.104665121,-0.408392381,0.578676345,57.77317947,0.763165724,8398,567,420,4.8,405,8268,42.5,30556,Texas,Houston,4.8,95.2
1223,48201221600,Harris County,78.43649608,0.15855748,-0.390142659,0.50191617,54.1188691,1.906180629,9403,444,449,9.4,883,9403,27.7,49071,Texas,Houston,5.2,94.8
1224,48201221700,Harris County,77.51325377,-0.359556155,-1.313384967,0.009638333,38.68501942,3.693007966,7898,405,423,7.3,573,7898,21.2,43096,Texas,Houston,4.8,95.2
1225,48201221800,Harris County,78.01010357,0.000525886,-0.816535164,0.214858224,45.69495413,5.851748552,4091,240,200,4,163,4058,41.2,30469,Texas,Houston,5.9,94.1
1226,48201221900,Harris County,77.83055522,-0.082208748,-0.996083518,-0.178046921,40.04079568,11.93541033,5151,151,267,7.8,404,5151,24.3,43438,Texas,Houston,3.3,96.7
1227,48201222000,Harris County,78.03939351,-0.408096915,-0.787245228,-0.147311902,52.4173913,4.912146226,2327,111,42,4.4,102,2327,28.4,37467,Texas,Houston,8,92
1228,48201222100,Harris County,77.9739291,-0.036960892,-0.852709636,0.117189687,52.34862745,1.73191615,5527,149,220,8.4,464,5504,37.9,29983,Texas,Houston,5.5,94.5
1229,48201222200,Harris County,78.44975049,-0.037381214,-0.376888246,0.268377836,49.03453453,3.884763414,3609,119,143,9,325,3609,29.3,34917,Texas,Houston,8.5,91.5
1230,48201222300,Harris County,77.56221193,-0.305950068,-1.264426808,-0.383750351,26.22106022,22.55411955,5036,318,367,4.8,241,5023,31.1,43281,Texas,Houston,4.4,95.6
1231,48201222401,Harris County,78.36420891,0.090971831,-0.462429826,0.36142242,48.58084577,3.037160362,3423,136,164,5.3,182,3368,30.7,37266,Texas,Houston,6.7,93.3
1232,48201222402,Harris County,78.08633165,-0.314524903,-0.740307093,0.21601033,41.86870027,4.092531395,6061,230,404,9.2,559,6013,29.6,47904,Texas,Houston,9.8,90.2
1233,48201222501,Harris County,79.16776874,0.564886239,0.341130003,0.278698161,68.93780849,0.085735403,3834,162,170,5.2,200,3834,41,25057,Texas,Houston,1.9,98.1
1234,48201222502,Harris County,78.35985315,-0.377486367,-0.46678559,0.356174098,49.42992624,2.040394089,4041,169,85,8.3,335,4022,21.1,48068,Texas,Houston,10.3,89.7
1235,48201222503,Harris County,78.6863896,0.176915767,-0.140249135,-0.011990052,64.45930233,0.035615354,7729,599,420,5.3,411,7729,37,32813,Texas,Houston,3.3,96.7
1236,48201222600,Harris County,79.45070585,0.062957633,0.624067107,0.644644176,54.5705963,3.602725636,5062,318,362,6.1,310,5062,37,26790,Texas,Houston,2.1,97.9
1237,48201222700,Harris County,79.05639571,-0.507685024,0.22975697,-0.371563218,49.43457292,8.218969111,6011,405,263,7,423,6011,44.2,21371,Texas,Houston,3.8,96.2
1238,48201222800,Harris County,78.67820161,-0.455125585,-0.148437131,0.310796278,47.32844379,4.57219946,3134,235,79,5.3,167,3134,39.6,31990,Texas,Houston,7.6,92.4
1239,48201222900,Harris County,77.65417456,-0.748440645,-1.172464175,-0.191353618,33.94506345,15.31289053,8011,297,223,11.8,946,8011,26.3,52758,Texas,Houston,3.4,96.6
1240,48201223001,Harris County,77.67053504,-0.645900363,-1.156103697,-0.286487891,20.94243986,14.60107066,4217,231,103,5.4,229,4195,31.9,50670,Texas,Houston,3.9,96.1
1241,48201223002,Harris County,78.2504986,-0.282429424,-0.576140142,0.21395932,58.35,0.284277879,3868,181,175,11.5,443,3868,41.2,26093,Texas,Houston,3.2,96.8
1242,48201223100,Harris County,78.47053739,-0.72812036,-0.356101347,-0.615291963,42.2023361,11.50077432,2313,69,34,8.4,195,2295,22.1,59342,Texas,Houston,16.5,83.5
1243,48201230100,Harris County,78.20544491,-0.573878897,-0.62119383,-0.212676521,60.2998679,1.435387674,1229,5,40,15.1,186,1229,20,35234,Texas,Houston,2.9,97.1
1244,48201230200,Harris County,77.69069164,-0.509945678,-1.135947103,-0.341347407,40.16868442,8.284871105,5347,61,106,15.4,821,5303,21.6,31368,Texas,Houston,3.2,96.8
1245,48201230300,Harris County,76.62914018,-1.100600242,-2.197498557,-0.62720582,38.56884992,7.511385565,2460,154,116,10.6,261,2460,30.1,32431,Texas,Houston,0.4,99.6
1246,48201230400,Harris County,77.11736765,-0.9692929,-1.709271094,-0.408688476,38.37742947,9.666273863,3319,56,70,10.7,354,3319,36.5,29120,Texas,Houston,3.2,96.8
1247,48201230500,Harris County,77.23972873,-0.962144004,-1.586910008,-0.324220499,45.77230047,6.115511551,3640,139,132,14.8,538,3623,30.9,35750,Texas,Houston,4.3,95.7
1248,48201230600,Harris County,76.77894982,-1.147168117,-2.047688915,-0.731904553,40.4263791,9.012445551,2728,93,53,16.5,451,2728,35,31081,Texas,Houston,1,99
1249,48201230800,Harris County,76.66226566,-0.477583827,-2.164373078,-0.698080977,32.91329761,12.19730615,2317,40,96,16.6,384,2317,23,31250,Texas,Houston,0,100
1250,48201230900,Harris County,77.90924505,-0.440416417,-0.917393693,0.099678158,42.62597587,8.168668296,4107,205,109,14,575,4107,43.2,22227,Texas,Houston,1.3,98.7
1251,48201231000,Harris County,76.92375638,-0.790644163,-1.902882357,-0.36457859,32.06737898,15.8099133,4677,102,56,14.6,684,4671,17.5,43193,Texas,Houston,3.4,96.6
1252,48201231700,Harris County,77.95318981,-0.118813593,-0.87344893,0.231854308,47.84060438,12.90814862,3640,202,177,8.3,302,3640,39.6,30393,Texas,Houston,3.2,96.8
1253,48201232600,Harris County,78.57687815,-0.562517686,-0.249760589,-0.122741197,43.45685727,7.981571397,3138,96,119,12,375,3138,18,60650,Texas,Houston,15,85
1254,48201233400,Harris County,78.81207945,-0.048399027,-0.014559284,0.201377324,61.01824441,1.525607863,2554,109,81,11.7,300,2554,25.3,34412,Texas,Houston,10.2,89.8
1255,48201233500,Harris County,77.87396165,-0.559092589,-0.952677085,-0.277032875,52.38706564,4.985728108,8113,238,364,10.4,843,8018,20.5,48280,Texas,Houston,9,91
1256,48201233600,Harris County,77.75805705,-1.224780966,-1.068581694,-1.014806839,27.73069895,2.01010447,2207,111,84,7.7,171,2207,38,27450,Texas,Houston,1.9,98.1
1257,48201233701,Harris County,79.06670903,-0.009122211,0.240070291,0.217162577,57.074011,2.613112817,5414,50,222,7.6,410,5414,36.7,39492,Texas,Houston,11.1,88.9
1258,48201233702,Harris County,78.25871629,-0.793895489,-0.567922448,-0.243191166,28.37819359,2.221289274,3036,171,151,7.5,227,2991,26,49013,Texas,Houston,2.5,97.5
1259,48201233703,Harris County,78.05066906,-0.601164387,-0.775969682,-0.473529166,32.08429874,14.3316336,2510,119,50,9,226,2510,16.8,58243,Texas,Houston,12.7,87.3
1260,48201240100,Harris County,79.67019224,0.04948926,0.843553502,0.88562432,64.44430538,1.423076923,3959,135,176,3.4,136,3959,27.2,30945,Texas,Houston,11.2,88.8
1261,48201240502,Harris County,79.03437589,0.086248211,0.207737154,0.793595447,66.41101695,0,5979,772,434,2.2,133,5979,32.2,24930,Texas,Houston,2.1,97.9
1262,48201252301,Harris County,78.27544998,-0.380943139,-0.551188761,-0.131183929,55.18029557,0.808463252,9270,317,248,9.6,887,9234,5.5,64914,Texas,Houston,9,91
1263,48201252302,Harris County,78.22529519,-0.86101222,-0.601343547,-0.392327265,33.61432087,7.918819188,14935,619,648,5.8,863,14935,12.7,76070,Texas,Houston,7.4,92.6
1264,48201252400,Harris County,77.85522785,-0.815028756,-0.971410886,-0.23947315,40.38927423,5.029202641,6461,157,294,13.3,861,6461,20.8,61875,Texas,Houston,33.7,66.3
1265,48201253300,Harris County,78.38613898,-1.764478443,-0.440499759,-1.447633548,17.34278861,8.481163045,3513,268,38,18.9,664,3500,5.5,85657,Texas,Houston,49.5,50.5
1266,48201253500,Harris County,78.01750479,-1.316755903,-0.809133954,-1.062395873,39.70703664,3.467955356,9816,743,352,7.3,716,9702,25,56155,Texas,Houston,25.8,74.2
1267,48201253600,Harris County,78.67911552,-1.478936411,-0.147523223,-1.043396217,39.4252967,9.02560039,6647,110,332,13,867,6647,19.4,45658,Texas,Houston,30.1,69.9
1268,48201253700,Harris County,78.75195563,-1.25056213,-0.074683108,-0.973647669,48.09589947,3.397684036,5813,259,289,11.7,679,5509,10.1,58105,Texas,Houston,25.8,74.2
1269,48201254100,Harris County,78.07151535,-1.847916546,-0.755123391,-1.424489419,45.10658482,3.270553691,5184,300,373,10.8,559,5102,19.8,43026,Texas,Houston,22.7,77.3
1270,48201254200,Harris County,78.61347699,-2.315098985,-0.213161748,-1.608367574,55.92521368,0.484685653,2620,78,99,12.1,316,2616,21.1,52292,Texas,Houston,17.1,82.9
1271,48201254300,Harris County,78.70889921,-1.34399468,-0.117739532,-1.122420399,55.61577532,2.307468042,5138,176,180,7.4,378,5110,23.9,48602,Texas,Houston,22,78
1272,48201254400,Harris County,78.24812144,-1.650268772,-0.578517299,-1.351637675,46.24483871,6.408416444,2971,148,114,11.6,346,2971,32.2,38043,Texas,Houston,11.3,88.7
1273,48201254500,Harris County,78.62027477,-1.375934535,-0.206363966,-0.979341528,47.64722979,7.217017208,1887,55,56,11.6,219,1887,18.1,48207,Texas,Houston,7.4,92.6
1274,48201254600,Harris County,78.4577697,-1.295029623,-0.368869043,-1.094639596,34.53188055,3.149163231,3678,232,84,9.7,358,3678,18.7,56509,Texas,Houston,10.6,89.4
1275,48201310100,Harris County,80.1504209,0.469954748,1.323782163,0.558853282,77.96591831,0.508123477,5346,180,143,4.6,246,5346,34.2,70510,Texas,Houston,22.5,77.5
1276,48201310200,Harris County,80.38139662,0.396910025,1.554757879,0.695910132,80.31840077,0.038405797,1912,65,29,3.6,68,1912,4.9,134464,Texas,Houston,43.4,56.6
1277,48201310300,Harris County,79.59134368,0.422430043,0.764704938,0.754124436,74.40488586,0.030949519,4840,108,159,12.4,602,4816,20.3,44943,Texas,Houston,22,78
1278,48201310400,Harris County,79.48405366,0.444236645,0.657414921,0.491970323,73.6938883,1.113843713,3430,115,98,15.5,530,3430,43.7,31853,Texas,Houston,4.3,95.7
1279,48201310500,Harris County,80.00537701,0.40361309,1.178738276,0.717580399,69.7916293,0.283535218,4439,185,161,10.5,468,4439,26.2,39928,Texas,Houston,4.1,95.9
1280,48201310600,Harris County,79.38067922,0.352782588,0.554040485,0.529117122,72.63368848,0.02820122,5407,58,259,11,594,5395,23.4,35122,Texas,Houston,11.8,88.2
1281,48201310700,Harris County,78.9076376,0.249310135,0.080998866,0.107368651,62.08229311,2.454987835,4582,154,195,8.5,389,4555,38.4,51071,Texas,Houston,14.4,85.6
1282,48201310800,Harris County,78.91843302,-0.178053727,0.091794278,-0.001595742,53.52529551,4.367223605,2643,41,120,8.7,229,2643,21,38856,Texas,Houston,8.8,91.2
1283,48201310900,Harris County,79.42450415,0.259614223,0.597865409,0.670743265,76.50929752,0.059440559,5442,224,350,11.1,605,5442,39,30421,Texas,Houston,4.5,95.5
1284,48201311000,Harris County,79.76318683,0.597976059,0.936548096,0.731383925,71.54760062,0.372965116,5754,172,78,14.2,815,5754,34.8,29981,Texas,Houston,4.4,95.6
1285,48201311100,Harris County,79.34672325,0.474475166,0.520084507,0.521567962,71.781491,0.232275862,5304,255,150,13.2,701,5294,19.9,38619,Texas,Houston,2.2,97.8
1286,48201311200,Harris County,77.85243611,-0.642441798,-0.974202633,-0.534195318,39.71155596,2.343572241,4922,168,135,13.3,654,4898,27.2,39148,Texas,Houston,8.3,91.7
1287,48201311300,Harris County,78.84530745,0.380600773,0.018668712,0.28352859,64.51167076,0.012968967,4915,181,193,10.7,526,4915,22.3,48237,Texas,Houston,1.9,98.1
1288,48201311400,Harris County,79.23529269,0.393844348,0.408653952,0.1568677,60.59217028,1.421097285,1667,61,40,9.9,165,1667,28.1,40179,Texas,Houston,0.8,99.2
1289,48201311500,Harris County,78.99913885,0.207397938,0.172500115,0.075393949,62.92230383,0.534904014,7543,93,396,15.3,1151,7524,18.5,52513,Texas,Houston,2,98
1290,48201311600,Harris County,80.03436707,0.553267059,1.207728334,-0.091177207,72.56959707,0.051388889,3923,169,215,2.7,104,3906,34.8,31542,Texas,Houston,3,97
1291,48201311700,Harris County,79.62323806,0.703481775,0.796599322,0.478746209,73.40629096,0.410908193,5741,255,356,6.8,388,5688,35.3,32159,Texas,Houston,2.3,97.7
1292,48201311800,Harris County,78.87527855,0.213911844,0.048639814,0.249952161,63.69080882,4.594691733,4585,292,195,8.2,376,4559,29.5,39776,Texas,Houston,3.8,96.2
1293,48201311900,Harris County,79.44196048,0.197416085,0.615321736,0.47938338,69.11588542,1.416938111,2454,56,116,11.6,285,2447,16.5,52059,Texas,Houston,9.7,90.3
1294,48201312000,Harris County,78.86121737,-0.31752265,0.034578631,-0.306011872,54.92625369,0.699298116,4570,28,7,6.3,287,1455,12.7,66250,Texas,Houston,34.4,65.6
1295,48201312100,Harris County,79.42632597,0.132716232,0.599687232,-0.454551271,55.14180108,0.125126646,4030,0,0,0,0,0,,,Texas,Houston,39.7,60.3
